denominacion,fecha_solicitud,clase,estado_tmview,acta,solicitante_tmview,evidencia,url_consulta
UNIVERSO,28/12/2011,35,Registrada,3137031,"BASGALL, DANIEL ALBERTO 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO,26/03/2020,35,Finalizada,3883979,"DANIEL A. BASGALL S.R.L. 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO,12/08/2025,35,Solicitada,4555870,"DANIEL A. BASGALL S.R.L. 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO,27/04/1994,35,Finalizada,1917739,"ARGOS S.A. 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO,22/04/1996,35,Finalizada,2030550,"ARGOS S.A. 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO,02/11/2023,35,Registrada,4301270,"DANIEL A. BASGALL S.R.L. 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO PRO,15/05/2026,35,Registrada,4712759,"BUYANOVSKY ADRIANA MABEL 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO NET,15/08/2018,35,Registrada,3733910,"UNIVERSO NET S.A. 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO XXI,25/01/2001,35,Finalizada,2325171,"RODRIGUEZ, ALICIA CRISTINA 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO SUR,09/03/2012,35,Registrada,3150124,"PEREZ, MARCELO FABIAN 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO MIX,29/07/2026,35,Solicitada,4756639,"MONTICELLI GRASSO MARIA AGOSTINA 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO SAT,18/12/1992,35,Vencida,1865894,"IMAGEN SATELITAL S.A. 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO ZERO,27/08/2009,35,Registrada,2940067,"COOPERATIVA DE CRÉDITO, CONSUMO, VIVIENDA Y SERVICIOS SOCIALES FINARG LTDA. 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO VIVO,16/12/2020,35,Registrada,3967993,"CASIRAGHI, FLORENCIA 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO VINO,04/01/2013,35,Registrada,3220536,"MINISTERIO DE TURISMO Y CULTURA-GOBIERNO DE SAN JUAN 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO VINO,29/06/2012,35,Finalizada,3174678,"MINISTERIO DE TURISMO Y CULTURA-GOBIERNO DE SAN JUAN 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO SECO,26/05/2025,35,Registrada,4514119,"MUÑIZ, RODRIGO ALDO 50,00%, MUÑIZ, ALVARO MANUEL 50,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO PYME,03/12/1999,35,Vencida,2255699,"SANTAMARINA, RAUL ALBERTO JESUS 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO MOTO,22/12/2017,35,Finalizada,3672013,"MERLO PETRONA 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO AURA,26/07/2023,35,Registrada,4268643,"BREST, AILEN EMILCE 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO HOME,28/07/2026,35,Solicitada,4756323,"MARIANA SUSANA TETTAMANZI 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO MOTO,18/12/2017,35,Finalizada,3670202,"MERLO PETRONA 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
UNIVERSO MOTO,12/01/2018,35,Finalizada,3676620,"MERLO PETRONA 100,00%",tmview-universo-ar-35-p1-2026-09-21.json,https://www.tmdn.org/tmview/#/tmview/results?page=1&pageSize=30&criteria=C&offices=AR&territories=AR&basicSearch=universo&fNiceClass=35
